level_rps,iso_time,milli_cpu
25,2026-06-30T18:54:56.7499108+01:00,3
25,2026-06-30T18:55:03.9038877+01:00,3
25,2026-06-30T18:55:11.1596175+01:00,3
25,2026-06-30T18:55:18.3707125+01:00,130
25,2026-06-30T18:55:25.6575992+01:00,130
25,2026-06-30T18:55:32.8928606+01:00,129
50,2026-06-30T18:56:03.0736115+01:00,19
50,2026-06-30T18:56:10.2230610+01:00,19
50,2026-06-30T18:56:17.3344952+01:00,155
50,2026-06-30T18:56:24.5308986+01:00,155
50,2026-06-30T18:56:31.6532569+01:00,232
50,2026-06-30T18:56:38.9010689+01:00,232
75,2026-06-30T18:57:09.0713075+01:00,12
75,2026-06-30T18:57:16.3620177+01:00,12
75,2026-06-30T18:57:23.4875366+01:00,12
75,2026-06-30T18:57:30.6025737+01:00,251
75,2026-06-30T18:57:37.7576498+01:00,251
75,2026-06-30T18:57:44.8749660+01:00,251
100,2026-06-30T18:58:15.1320131+01:00,126
100,2026-06-30T18:58:22.2931363+01:00,126
100,2026-06-30T18:58:29.4489502+01:00,126
100,2026-06-30T18:58:36.7258493+01:00,383
100,2026-06-30T18:58:43.8942829+01:00,383
100,2026-06-30T18:58:51.0298052+01:00,365
125,2026-06-30T18:59:21.2427038+01:00,174
125,2026-06-30T18:59:28.4962702+01:00,174
125,2026-06-30T18:59:35.7390719+01:00,157
125,2026-06-30T18:59:42.8613218+01:00,157
125,2026-06-30T18:59:50.1032663+01:00,474
125,2026-06-30T18:59:57.2270286+01:00,474
150,2026-06-30T19:00:27.6874634+01:00,408
150,2026-06-30T19:00:35.0906367+01:00,4
150,2026-06-30T19:00:42.2558081+01:00,4
150,2026-06-30T19:00:49.6283977+01:00,794
150,2026-06-30T19:00:56.7757277+01:00,794
150,2026-06-30T19:01:03.9656352+01:00,726
175,2026-06-30T19:01:34.3015110+01:00,4
175,2026-06-30T19:01:41.5285812+01:00,4
175,2026-06-30T19:01:48.7527205+01:00,428
175,2026-06-30T19:01:56.0474920+01:00,428
175,2026-06-30T19:02:03.2288964+01:00,658
175,2026-06-30T19:02:10.3355434+01:00,658
200,2026-06-30T19:02:40.7291253+01:00,51
200,2026-06-30T19:02:48.0331057+01:00,690
200,2026-06-30T19:02:55.2174723+01:00,690
200,2026-06-30T19:03:02.8829852+01:00,999
200,2026-06-30T19:03:10.0894632+01:00,999
200,2026-06-30T19:03:17.2093300+01:00,134
130,2026-06-30T19:06:13.6948980+01:00,4
130,2026-06-30T19:06:20.9162381+01:00,209
130,2026-06-30T19:06:28.1161673+01:00,209
130,2026-06-30T19:06:35.2700300+01:00,736
130,2026-06-30T19:06:42.4309915+01:00,736
130,2026-06-30T19:06:49.5714376+01:00,511
135,2026-06-30T19:07:19.7419281+01:00,3
135,2026-06-30T19:07:26.8705411+01:00,3
135,2026-06-30T19:07:34.0426221+01:00,531
135,2026-06-30T19:07:41.2140985+01:00,531
135,2026-06-30T19:07:48.4570174+01:00,482
135,2026-06-30T19:07:55.6808852+01:00,482
140,2026-06-30T19:08:25.8574276+01:00,273
140,2026-06-30T19:08:33.1185914+01:00,178
140,2026-06-30T19:08:40.2358073+01:00,178
140,2026-06-30T19:08:47.3706517+01:00,558
140,2026-06-30T19:08:54.5032903+01:00,558
140,2026-06-30T19:09:01.6825699+01:00,479
145,2026-06-30T19:09:31.9758721+01:00,4
145,2026-06-30T19:09:39.2046265+01:00,4
145,2026-06-30T19:09:46.3504488+01:00,448
145,2026-06-30T19:09:53.4902834+01:00,448
145,2026-06-30T19:10:00.6455961+01:00,541
145,2026-06-30T19:10:08.0435313+01:00,541
