target_rps,observed_rps,p95_ms,p90_ms,max_ms,cpu_milli,cpu_pct,fail_rate,n_reqs
25,24.99987233398528,37.51577999999991,20.852420000000006,804.6806,104.6,34.9,0,1125
50,50.015107739863254,10.7593,9.4879,68.6882,113.2,37.7,0,2251
55,55.01391939925333,627.269675,275.97429999999997,1602.5454,118.6,39.5,0,2476
60,60.01446301898124,111.5192,16.2125,357.8898,102.8,34.3,0,2701
65,65.00924810987944,176.44639999999998,50.97925,659.9696,156.6,52.2,0,2926
70,70.01240803844652,391.16865,286.1587,797.1587,208.4,69.5,0,3151
75,74.77866379370113,1256.201075,1130.9396,1581.9856,224,74.7,0,3376
100,87.26384920785524,16975.696619999995,12704.281760000002,20774.7501,192.4,64.1,0.7130124777183601,3927
125,125.01841499475758,0,0,0,3.2,1.1,1,5626
150,150.01822406986383,0,0,0,3,1.0,1,6751
