level_rps,iso_time,milli_cpu
25,2026-06-30T19:28:40.7872267+01:00,3
25,2026-06-30T19:28:47.9188765+01:00,80
25,2026-06-30T19:28:55.0551878+01:00,80
25,2026-06-30T19:29:02.3487900+01:00,127
25,2026-06-30T19:29:09.6084604+01:00,127
25,2026-06-30T19:29:16.7119862+01:00,109
50,2026-06-30T19:29:47.0646182+01:00,30
50,2026-06-30T19:29:54.2667235+01:00,30
50,2026-06-30T19:30:01.4224412+01:00,95
50,2026-06-30T19:30:08.5668476+01:00,95
50,2026-06-30T19:30:15.7419900+01:00,173
50,2026-06-30T19:30:22.8826815+01:00,173
75,2026-06-30T19:30:53.1425971+01:00,47
75,2026-06-30T19:31:00.4111396+01:00,186
75,2026-06-30T19:31:07.5388354+01:00,186
75,2026-06-30T19:31:14.7502331+01:00,186
75,2026-06-30T19:31:21.9286968+01:00,281
75,2026-06-30T19:31:29.2835740+01:00,281
100,2026-06-30T19:31:59.7586285+01:00,36
100,2026-06-30T19:32:06.9315547+01:00,115
100,2026-06-30T19:32:14.0615641+01:00,115
100,2026-06-30T19:32:21.1953488+01:00,300
100,2026-06-30T19:32:28.3338402+01:00,300
100,2026-06-30T19:32:35.4887464+01:00,132
125,2026-06-30T19:33:05.7978039+01:00,4
125,2026-06-30T19:33:12.9217244+01:00,4
125,2026-06-30T19:33:20.0412888+01:00,3
125,2026-06-30T19:33:27.1840918+01:00,3
125,2026-06-30T19:33:34.3899307+01:00,3
125,2026-06-30T19:33:41.5160158+01:00,3
150,2026-06-30T19:34:11.8217439+01:00,3
150,2026-06-30T19:34:18.9871375+01:00,3
150,2026-06-30T19:34:26.1057882+01:00,3
150,2026-06-30T19:34:33.2433731+01:00,3
150,2026-06-30T19:34:40.3672876+01:00,3
150,2026-06-30T19:34:47.5020686+01:00,3
55,2026-06-30T19:36:03.2781587+01:00,37
55,2026-06-30T19:36:10.4409539+01:00,37
55,2026-06-30T19:36:17.6043518+01:00,37
55,2026-06-30T19:36:24.7387238+01:00,37
55,2026-06-30T19:36:31.8586089+01:00,241
55,2026-06-30T19:36:39.0171386+01:00,241
60,2026-06-30T19:37:14.2809339+01:00,64
60,2026-06-30T19:37:21.3901275+01:00,76
60,2026-06-30T19:37:28.5691246+01:00,76
60,2026-06-30T19:37:35.6935161+01:00,76
60,2026-06-30T19:37:42.8116920+01:00,76
60,2026-06-30T19:37:50.1267983+01:00,210
65,2026-06-30T19:38:25.3602539+01:00,4
65,2026-06-30T19:38:32.4857362+01:00,137
65,2026-06-30T19:38:39.7212096+01:00,137
65,2026-06-30T19:38:46.9640255+01:00,137
65,2026-06-30T19:38:54.1664794+01:00,137
65,2026-06-30T19:39:01.2875397+01:00,235
70,2026-06-30T19:39:36.4334722+01:00,4
70,2026-06-30T19:39:43.5989485+01:00,4
70,2026-06-30T19:39:50.7126453+01:00,266
70,2026-06-30T19:39:57.8255258+01:00,266
70,2026-06-30T19:40:05.0106145+01:00,253
70,2026-06-30T19:40:12.1347245+01:00,253
