ts,metric,labels,value
1783667359,replicas_status,deployment=workload-cloud,1.0
1783667369,replicas_status,deployment=workload-cloud,1.0
1783667379,replicas_status,deployment=workload-cloud,1.0
1783667389,replicas_status,deployment=workload-cloud,1.0
1783667399,replicas_status,deployment=workload-cloud,1.0
1783667409,replicas_status,deployment=workload-cloud,1.0
1783667419,replicas_status,deployment=workload-cloud,1.0
1783667429,replicas_status,deployment=workload-cloud,1.0
1783667439,replicas_status,deployment=workload-cloud,1.0
1783667449,replicas_status,deployment=workload-cloud,2.0
1783667459,replicas_status,deployment=workload-cloud,2.0
1783667469,replicas_status,deployment=workload-cloud,2.0
1783667479,replicas_status,deployment=workload-cloud,2.0
1783667489,replicas_status,deployment=workload-cloud,2.0
1783667499,replicas_status,deployment=workload-cloud,2.0
1783667509,replicas_status,deployment=workload-cloud,3.0
1783667519,replicas_status,deployment=workload-cloud,3.0
1783667529,replicas_status,deployment=workload-cloud,3.0
1783667539,replicas_status,deployment=workload-cloud,3.0
1783667549,replicas_status,deployment=workload-cloud,3.0
1783667559,replicas_status,deployment=workload-cloud,5.0
1783667569,replicas_status,deployment=workload-cloud,5.0
1783667579,replicas_status,deployment=workload-cloud,5.0
1783667589,replicas_status,deployment=workload-cloud,6.0
1783667599,replicas_status,deployment=workload-cloud,6.0
1783667609,replicas_status,deployment=workload-cloud,6.0
1783667619,replicas_status,deployment=workload-cloud,6.0
1783667629,replicas_status,deployment=workload-cloud,6.0
1783667639,replicas_status,deployment=workload-cloud,6.0
1783667649,replicas_status,deployment=workload-cloud,6.0
1783667659,replicas_status,deployment=workload-cloud,6.0
1783667669,replicas_status,deployment=workload-cloud,6.0
1783667679,replicas_status,deployment=workload-cloud,6.0
1783667689,replicas_status,deployment=workload-cloud,6.0
1783667699,replicas_status,deployment=workload-cloud,6.0
1783667709,replicas_status,deployment=workload-cloud,6.0
1783667719,replicas_status,deployment=workload-cloud,6.0
1783667729,replicas_status,deployment=workload-cloud,6.0
1783667739,replicas_status,deployment=workload-cloud,6.0
1783667749,replicas_status,deployment=workload-cloud,6.0
1783667759,replicas_status,deployment=workload-cloud,6.0
1783667769,replicas_status,deployment=workload-cloud,6.0
