ts,metric,labels,value
1783668076,replicas_status,deployment=workload-cloud,1.0
1783668086,replicas_status,deployment=workload-cloud,1.0
1783668096,replicas_status,deployment=workload-cloud,1.0
1783668106,replicas_status,deployment=workload-cloud,1.0
1783668116,replicas_status,deployment=workload-cloud,1.0
1783668126,replicas_status,deployment=workload-cloud,1.0
1783668136,replicas_status,deployment=workload-cloud,1.0
1783668146,replicas_status,deployment=workload-cloud,1.0
1783668156,replicas_status,deployment=workload-cloud,1.0
1783668166,replicas_status,deployment=workload-cloud,2.0
1783668176,replicas_status,deployment=workload-cloud,2.0
1783668186,replicas_status,deployment=workload-cloud,2.0
1783668196,replicas_status,deployment=workload-cloud,2.0
1783668206,replicas_status,deployment=workload-cloud,2.0
1783668216,replicas_status,deployment=workload-cloud,2.0
1783668226,replicas_status,deployment=workload-cloud,3.0
1783668236,replicas_status,deployment=workload-cloud,3.0
1783668246,replicas_status,deployment=workload-cloud,3.0
1783668256,replicas_status,deployment=workload-cloud,3.0
1783668266,replicas_status,deployment=workload-cloud,3.0
1783668276,replicas_status,deployment=workload-cloud,5.0
1783668286,replicas_status,deployment=workload-cloud,5.0
1783668296,replicas_status,deployment=workload-cloud,5.0
1783668306,replicas_status,deployment=workload-cloud,5.0
1783668316,replicas_status,deployment=workload-cloud,6.0
1783668326,replicas_status,deployment=workload-cloud,6.0
1783668336,replicas_status,deployment=workload-cloud,6.0
1783668346,replicas_status,deployment=workload-cloud,6.0
1783668356,replicas_status,deployment=workload-cloud,6.0
1783668366,replicas_status,deployment=workload-cloud,6.0
1783668376,replicas_status,deployment=workload-cloud,6.0
1783668386,replicas_status,deployment=workload-cloud,6.0
1783668396,replicas_status,deployment=workload-cloud,6.0
1783668406,replicas_status,deployment=workload-cloud,6.0
1783668416,replicas_status,deployment=workload-cloud,6.0
1783668426,replicas_status,deployment=workload-cloud,6.0
1783668436,replicas_status,deployment=workload-cloud,6.0
1783668446,replicas_status,deployment=workload-cloud,6.0
1783668456,replicas_status,deployment=workload-cloud,6.0
1783668466,replicas_status,deployment=workload-cloud,6.0
1783668476,replicas_status,deployment=workload-cloud,6.0
1783668486,replicas_status,deployment=workload-cloud,6.0
1783668496,replicas_status,deployment=workload-cloud,6.0
1783668506,replicas_status,deployment=workload-cloud,6.0
1783668516,replicas_status,deployment=workload-cloud,6.0
1783668526,replicas_status,deployment=workload-cloud,6.0
1783668536,replicas_status,deployment=workload-cloud,6.0
1783668546,replicas_status,deployment=workload-cloud,6.0
1783668556,replicas_status,deployment=workload-cloud,6.0
1783668566,replicas_status,deployment=workload-cloud,6.0
1783668576,replicas_status,deployment=workload-cloud,6.0
1783668586,replicas_status,deployment=workload-cloud,6.0
1783668596,replicas_status,deployment=workload-cloud,6.0
