ts,metric,labels,value
1783672894,replicas_status,deployment=workload-cloud,1.0
1783672904,replicas_status,deployment=workload-cloud,1.0
1783672914,replicas_status,deployment=workload-cloud,1.0
1783672924,replicas_status,deployment=workload-cloud,1.0
1783672934,replicas_status,deployment=workload-cloud,1.0
1783672944,replicas_status,deployment=workload-cloud,1.0
1783672954,replicas_status,deployment=workload-cloud,1.0
1783672964,replicas_status,deployment=workload-cloud,2.0
1783672974,replicas_status,deployment=workload-cloud,2.0
1783672984,replicas_status,deployment=workload-cloud,2.0
1783672994,replicas_status,deployment=workload-cloud,3.0
1783673004,replicas_status,deployment=workload-cloud,3.0
1783673014,replicas_status,deployment=workload-cloud,3.0
1783673024,replicas_status,deployment=workload-cloud,3.0
1783673034,replicas_status,deployment=workload-cloud,3.0
1783673044,replicas_status,deployment=workload-cloud,3.0
1783673054,replicas_status,deployment=workload-cloud,3.0
1783673064,replicas_status,deployment=workload-cloud,4.0
1783673074,replicas_status,deployment=workload-cloud,4.0
1783673084,replicas_status,deployment=workload-cloud,4.0
1783673094,replicas_status,deployment=workload-cloud,4.0
1783673104,replicas_status,deployment=workload-cloud,6.0
1783673114,replicas_status,deployment=workload-cloud,6.0
1783673124,replicas_status,deployment=workload-cloud,6.0
1783673134,replicas_status,deployment=workload-cloud,6.0
1783673144,replicas_status,deployment=workload-cloud,6.0
1783673154,replicas_status,deployment=workload-cloud,6.0
1783673164,replicas_status,deployment=workload-cloud,6.0
1783673174,replicas_status,deployment=workload-cloud,6.0
1783673184,replicas_status,deployment=workload-cloud,6.0
1783673194,replicas_status,deployment=workload-cloud,6.0
1783673204,replicas_status,deployment=workload-cloud,6.0
1783673214,replicas_status,deployment=workload-cloud,6.0
1783673224,replicas_status,deployment=workload-cloud,6.0
1783673234,replicas_status,deployment=workload-cloud,6.0
1783673244,replicas_status,deployment=workload-cloud,6.0
1783673254,replicas_status,deployment=workload-cloud,6.0
1783673264,replicas_status,deployment=workload-cloud,6.0
1783673274,replicas_status,deployment=workload-cloud,6.0
1783673284,replicas_status,deployment=workload-cloud,6.0
1783673294,replicas_status,deployment=workload-cloud,6.0
1783673304,replicas_status,deployment=workload-cloud,6.0
1783673314,replicas_status,deployment=workload-cloud,6.0
1783673324,replicas_status,deployment=workload-cloud,6.0
1783673334,replicas_status,deployment=workload-cloud,6.0
1783673344,replicas_status,deployment=workload-cloud,6.0
1783673354,replicas_status,deployment=workload-cloud,6.0
1783673364,replicas_status,deployment=workload-cloud,6.0
1783673374,replicas_status,deployment=workload-cloud,6.0
1783673384,replicas_status,deployment=workload-cloud,6.0
1783673394,replicas_status,deployment=workload-cloud,6.0
1783673404,replicas_status,deployment=workload-cloud,6.0
1783673414,replicas_status,deployment=workload-cloud,6.0
1783673424,replicas_status,deployment=workload-cloud,6.0
1783673434,replicas_status,deployment=workload-cloud,6.0
1783673444,replicas_status,deployment=workload-cloud,6.0
1783673454,replicas_status,deployment=workload-cloud,6.0
1783673464,replicas_status,deployment=workload-cloud,6.0
1783673474,replicas_status,deployment=workload-cloud,6.0
1783673484,replicas_status,deployment=workload-cloud,6.0
1783673494,replicas_status,deployment=workload-cloud,6.0
1783673504,replicas_status,deployment=workload-cloud,6.0
1783673514,replicas_status,deployment=workload-cloud,6.0
1783673524,replicas_status,deployment=workload-cloud,6.0
1783672894,replicas_status,deployment=workload-edge,1.0
1783672904,replicas_status,deployment=workload-edge,1.0
1783672914,replicas_status,deployment=workload-edge,1.0
1783672924,replicas_status,deployment=workload-edge,1.0
1783672934,replicas_status,deployment=workload-edge,1.0
1783672944,replicas_status,deployment=workload-edge,1.0
1783672954,replicas_status,deployment=workload-edge,1.0
1783672964,replicas_status,deployment=workload-edge,1.0
1783672974,replicas_status,deployment=workload-edge,1.0
1783672984,replicas_status,deployment=workload-edge,1.0
1783672994,replicas_status,deployment=workload-edge,1.0
1783673004,replicas_status,deployment=workload-edge,1.0
1783673014,replicas_status,deployment=workload-edge,1.0
1783673024,replicas_status,deployment=workload-edge,1.0
1783673034,replicas_status,deployment=workload-edge,1.0
1783673044,replicas_status,deployment=workload-edge,1.0
1783673054,replicas_status,deployment=workload-edge,1.0
1783673064,replicas_status,deployment=workload-edge,1.0
1783673074,replicas_status,deployment=workload-edge,1.0
1783673084,replicas_status,deployment=workload-edge,1.0
1783673094,replicas_status,deployment=workload-edge,1.0
1783673104,replicas_status,deployment=workload-edge,1.0
1783673114,replicas_status,deployment=workload-edge,1.0
1783673124,replicas_status,deployment=workload-edge,1.0
1783673134,replicas_status,deployment=workload-edge,1.0
1783673144,replicas_status,deployment=workload-edge,1.0
1783673154,replicas_status,deployment=workload-edge,1.0
1783673164,replicas_status,deployment=workload-edge,1.0
1783673174,replicas_status,deployment=workload-edge,1.0
1783673184,replicas_status,deployment=workload-edge,1.0
1783673194,replicas_status,deployment=workload-edge,1.0
1783673204,replicas_status,deployment=workload-edge,1.0
1783673214,replicas_status,deployment=workload-edge,1.0
1783673224,replicas_status,deployment=workload-edge,1.0
1783673234,replicas_status,deployment=workload-edge,1.0
1783673244,replicas_status,deployment=workload-edge,1.0
1783673254,replicas_status,deployment=workload-edge,1.0
1783673264,replicas_status,deployment=workload-edge,1.0
1783673274,replicas_status,deployment=workload-edge,1.0
1783673284,replicas_status,deployment=workload-edge,1.0
1783673294,replicas_status,deployment=workload-edge,1.0
1783673304,replicas_status,deployment=workload-edge,1.0
1783673314,replicas_status,deployment=workload-edge,1.0
1783673324,replicas_status,deployment=workload-edge,1.0
1783673334,replicas_status,deployment=workload-edge,1.0
1783673344,replicas_status,deployment=workload-edge,1.0
1783673354,replicas_status,deployment=workload-edge,1.0
1783673364,replicas_status,deployment=workload-edge,1.0
1783673374,replicas_status,deployment=workload-edge,1.0
1783673384,replicas_status,deployment=workload-edge,1.0
1783673394,replicas_status,deployment=workload-edge,1.0
1783673404,replicas_status,deployment=workload-edge,1.0
1783673414,replicas_status,deployment=workload-edge,1.0
1783673424,replicas_status,deployment=workload-edge,1.0
1783673434,replicas_status,deployment=workload-edge,1.0
1783673444,replicas_status,deployment=workload-edge,1.0
1783673454,replicas_status,deployment=workload-edge,1.0
1783673464,replicas_status,deployment=workload-edge,1.0
1783673474,replicas_status,deployment=workload-edge,1.0
1783673484,replicas_status,deployment=workload-edge,1.0
1783673494,replicas_status,deployment=workload-edge,1.0
1783673504,replicas_status,deployment=workload-edge,1.0
1783673514,replicas_status,deployment=workload-edge,1.0
1783673524,replicas_status,deployment=workload-edge,1.0
1783672894,replicas_spec,deployment=workload-cloud,1.0
1783672904,replicas_spec,deployment=workload-cloud,1.0
1783672914,replicas_spec,deployment=workload-cloud,1.0
1783672924,replicas_spec,deployment=workload-cloud,1.0
1783672934,replicas_spec,deployment=workload-cloud,1.0
1783672944,replicas_spec,deployment=workload-cloud,1.0
1783672954,replicas_spec,deployment=workload-cloud,1.0
1783672964,replicas_spec,deployment=workload-cloud,2.0
1783672974,replicas_spec,deployment=workload-cloud,2.0
1783672984,replicas_spec,deployment=workload-cloud,2.0
1783672994,replicas_spec,deployment=workload-cloud,3.0
1783673004,replicas_spec,deployment=workload-cloud,3.0
1783673014,replicas_spec,deployment=workload-cloud,3.0
1783673024,replicas_spec,deployment=workload-cloud,3.0
1783673034,replicas_spec,deployment=workload-cloud,3.0
1783673044,replicas_spec,deployment=workload-cloud,3.0
1783673054,replicas_spec,deployment=workload-cloud,3.0
1783673064,replicas_spec,deployment=workload-cloud,4.0
1783673074,replicas_spec,deployment=workload-cloud,4.0
1783673084,replicas_spec,deployment=workload-cloud,4.0
1783673094,replicas_spec,deployment=workload-cloud,4.0
1783673104,replicas_spec,deployment=workload-cloud,6.0
1783673114,replicas_spec,deployment=workload-cloud,6.0
1783673124,replicas_spec,deployment=workload-cloud,6.0
1783673134,replicas_spec,deployment=workload-cloud,6.0
1783673144,replicas_spec,deployment=workload-cloud,6.0
1783673154,replicas_spec,deployment=workload-cloud,6.0
1783673164,replicas_spec,deployment=workload-cloud,6.0
1783673174,replicas_spec,deployment=workload-cloud,6.0
1783673184,replicas_spec,deployment=workload-cloud,6.0
1783673194,replicas_spec,deployment=workload-cloud,6.0
1783673204,replicas_spec,deployment=workload-cloud,6.0
1783673214,replicas_spec,deployment=workload-cloud,6.0
1783673224,replicas_spec,deployment=workload-cloud,6.0
1783673234,replicas_spec,deployment=workload-cloud,6.0
1783673244,replicas_spec,deployment=workload-cloud,6.0
1783673254,replicas_spec,deployment=workload-cloud,6.0
1783673264,replicas_spec,deployment=workload-cloud,6.0
1783673274,replicas_spec,deployment=workload-cloud,6.0
1783673284,replicas_spec,deployment=workload-cloud,6.0
1783673294,replicas_spec,deployment=workload-cloud,6.0
1783673304,replicas_spec,deployment=workload-cloud,6.0
1783673314,replicas_spec,deployment=workload-cloud,6.0
1783673324,replicas_spec,deployment=workload-cloud,6.0
1783673334,replicas_spec,deployment=workload-cloud,6.0
1783673344,replicas_spec,deployment=workload-cloud,6.0
1783673354,replicas_spec,deployment=workload-cloud,6.0
1783673364,replicas_spec,deployment=workload-cloud,6.0
1783673374,replicas_spec,deployment=workload-cloud,6.0
1783673384,replicas_spec,deployment=workload-cloud,6.0
1783673394,replicas_spec,deployment=workload-cloud,6.0
1783673404,replicas_spec,deployment=workload-cloud,6.0
1783673414,replicas_spec,deployment=workload-cloud,6.0
1783673424,replicas_spec,deployment=workload-cloud,6.0
1783673434,replicas_spec,deployment=workload-cloud,6.0
1783673444,replicas_spec,deployment=workload-cloud,6.0
1783673454,replicas_spec,deployment=workload-cloud,6.0
1783673464,replicas_spec,deployment=workload-cloud,6.0
1783673474,replicas_spec,deployment=workload-cloud,6.0
1783673484,replicas_spec,deployment=workload-cloud,6.0
1783673494,replicas_spec,deployment=workload-cloud,6.0
1783673504,replicas_spec,deployment=workload-cloud,6.0
1783673514,replicas_spec,deployment=workload-cloud,6.0
1783673524,replicas_spec,deployment=workload-cloud,6.0
1783672894,replicas_spec,deployment=workload-edge,1.0
1783672904,replicas_spec,deployment=workload-edge,1.0
1783672914,replicas_spec,deployment=workload-edge,1.0
1783672924,replicas_spec,deployment=workload-edge,1.0
1783672934,replicas_spec,deployment=workload-edge,1.0
1783672944,replicas_spec,deployment=workload-edge,1.0
1783672954,replicas_spec,deployment=workload-edge,1.0
1783672964,replicas_spec,deployment=workload-edge,1.0
1783672974,replicas_spec,deployment=workload-edge,1.0
1783672984,replicas_spec,deployment=workload-edge,1.0
1783672994,replicas_spec,deployment=workload-edge,1.0
1783673004,replicas_spec,deployment=workload-edge,1.0
1783673014,replicas_spec,deployment=workload-edge,1.0
1783673024,replicas_spec,deployment=workload-edge,1.0
1783673034,replicas_spec,deployment=workload-edge,1.0
1783673044,replicas_spec,deployment=workload-edge,1.0
1783673054,replicas_spec,deployment=workload-edge,1.0
1783673064,replicas_spec,deployment=workload-edge,1.0
1783673074,replicas_spec,deployment=workload-edge,1.0
1783673084,replicas_spec,deployment=workload-edge,1.0
1783673094,replicas_spec,deployment=workload-edge,1.0
1783673104,replicas_spec,deployment=workload-edge,1.0
1783673114,replicas_spec,deployment=workload-edge,1.0
1783673124,replicas_spec,deployment=workload-edge,1.0
1783673134,replicas_spec,deployment=workload-edge,1.0
1783673144,replicas_spec,deployment=workload-edge,1.0
1783673154,replicas_spec,deployment=workload-edge,1.0
1783673164,replicas_spec,deployment=workload-edge,1.0
1783673174,replicas_spec,deployment=workload-edge,1.0
1783673184,replicas_spec,deployment=workload-edge,1.0
1783673194,replicas_spec,deployment=workload-edge,1.0
1783673204,replicas_spec,deployment=workload-edge,1.0
1783673214,replicas_spec,deployment=workload-edge,1.0
1783673224,replicas_spec,deployment=workload-edge,1.0
1783673234,replicas_spec,deployment=workload-edge,1.0
1783673244,replicas_spec,deployment=workload-edge,1.0
1783673254,replicas_spec,deployment=workload-edge,1.0
1783673264,replicas_spec,deployment=workload-edge,1.0
1783673274,replicas_spec,deployment=workload-edge,1.0
1783673284,replicas_spec,deployment=workload-edge,1.0
1783673294,replicas_spec,deployment=workload-edge,1.0
1783673304,replicas_spec,deployment=workload-edge,1.0
1783673314,replicas_spec,deployment=workload-edge,1.0
1783673324,replicas_spec,deployment=workload-edge,1.0
1783673334,replicas_spec,deployment=workload-edge,1.0
1783673344,replicas_spec,deployment=workload-edge,1.0
1783673354,replicas_spec,deployment=workload-edge,1.0
1783673364,replicas_spec,deployment=workload-edge,1.0
1783673374,replicas_spec,deployment=workload-edge,1.0
1783673384,replicas_spec,deployment=workload-edge,1.0
1783673394,replicas_spec,deployment=workload-edge,1.0
1783673404,replicas_spec,deployment=workload-edge,1.0
1783673414,replicas_spec,deployment=workload-edge,1.0
1783673424,replicas_spec,deployment=workload-edge,1.0
1783673434,replicas_spec,deployment=workload-edge,1.0
1783673444,replicas_spec,deployment=workload-edge,1.0
1783673454,replicas_spec,deployment=workload-edge,1.0
1783673464,replicas_spec,deployment=workload-edge,1.0
1783673474,replicas_spec,deployment=workload-edge,1.0
1783673484,replicas_spec,deployment=workload-edge,1.0
1783673494,replicas_spec,deployment=workload-edge,1.0
1783673504,replicas_spec,deployment=workload-edge,1.0
1783673514,replicas_spec,deployment=workload-edge,1.0
1783673524,replicas_spec,deployment=workload-edge,1.0
1783672974,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.015984356419217482
1783672984,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.011404805868299586
1783672994,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.014970760452763668
1783673004,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.012911772239011297
1783673014,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.014584357592296067
1783673024,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.0022633378072309356
1783673034,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.004034639514553121
1783673044,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.01190425725876293
1783673054,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.01596567446820246
1783673064,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.021493173751975337
1783673074,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.024858132563155774
1783673084,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.03927375635458044
1783673094,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.041094075546719684
1783673104,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.15316850115804564
1783673114,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.19846838544075723
1783673124,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.3042141104813468
1783673134,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.37898308317439255
1783673144,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.45829939139215625
1783673154,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.46279417556019375
1783673164,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.47454075522424544
1783673174,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.47741357365824183
1783673184,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.4703324795402011
1783673194,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.4703324795402011
1783673204,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.47230535784283395
1783673214,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.46658456954482075
1783673224,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.4684300454668134
1783673234,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.4774384521367147
1783673244,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.47583771578643924
1783673254,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.4389658165585087
1783673264,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.35215449734787674
1783673274,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.3143437605849887
1783673284,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.19520869263857474
1783673294,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.08844124193189398
1783673304,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.08320889115250275
1783673314,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06003810800459583
1783673324,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06034554256485198
1783673334,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06025359479574816
1783673344,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06037505272822028
1783673354,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06071482392571431
1783673364,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06055199064306031
1783673374,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06055199064306031
1783673384,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.06062708043988068
1783673394,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.04891998274346317
1783673404,cpu_cores,pod=workload-cloud-6f545f89ff-57mwn,0.060247103521700006
