ts,metric,labels,value
1783697076,replicas_status,deployment=workload-cloud,1.0
1783697086,replicas_status,deployment=workload-cloud,1.0
1783697096,replicas_status,deployment=workload-cloud,1.0
1783697106,replicas_status,deployment=workload-cloud,1.0
1783697116,replicas_status,deployment=workload-cloud,1.0
1783697126,replicas_status,deployment=workload-cloud,1.0
1783697136,replicas_status,deployment=workload-cloud,1.0
1783697146,replicas_status,deployment=workload-cloud,1.0
1783697156,replicas_status,deployment=workload-cloud,1.0
1783697166,replicas_status,deployment=workload-cloud,2.0
1783697176,replicas_status,deployment=workload-cloud,2.0
1783697186,replicas_status,deployment=workload-cloud,2.0
1783697196,replicas_status,deployment=workload-cloud,3.0
1783697206,replicas_status,deployment=workload-cloud,3.0
1783697216,replicas_status,deployment=workload-cloud,3.0
1783697226,replicas_status,deployment=workload-cloud,3.0
1783697236,replicas_status,deployment=workload-cloud,4.0
1783697246,replicas_status,deployment=workload-cloud,4.0
1783697256,replicas_status,deployment=workload-cloud,4.0
1783697266,replicas_status,deployment=workload-cloud,5.0
1783697276,replicas_status,deployment=workload-cloud,5.0
1783697286,replicas_status,deployment=workload-cloud,5.0
1783697296,replicas_status,deployment=workload-cloud,6.0
1783697306,replicas_status,deployment=workload-cloud,6.0
1783697316,replicas_status,deployment=workload-cloud,6.0
1783697326,replicas_status,deployment=workload-cloud,6.0
1783697336,replicas_status,deployment=workload-cloud,6.0
1783697346,replicas_status,deployment=workload-cloud,6.0
1783697356,replicas_status,deployment=workload-cloud,6.0
1783697366,replicas_status,deployment=workload-cloud,6.0
1783697376,replicas_status,deployment=workload-cloud,6.0
1783697386,replicas_status,deployment=workload-cloud,6.0
1783697396,replicas_status,deployment=workload-cloud,6.0
1783697406,replicas_status,deployment=workload-cloud,6.0
1783697416,replicas_status,deployment=workload-cloud,6.0
1783697426,replicas_status,deployment=workload-cloud,6.0
1783697436,replicas_status,deployment=workload-cloud,6.0
1783697446,replicas_status,deployment=workload-cloud,6.0
1783697456,replicas_status,deployment=workload-cloud,6.0
1783697466,replicas_status,deployment=workload-cloud,6.0
1783697476,replicas_status,deployment=workload-cloud,6.0
1783697486,replicas_status,deployment=workload-cloud,6.0
1783697496,replicas_status,deployment=workload-cloud,6.0
1783697506,replicas_status,deployment=workload-cloud,6.0
1783697516,replicas_status,deployment=workload-cloud,6.0
1783697526,replicas_status,deployment=workload-cloud,6.0
1783697536,replicas_status,deployment=workload-cloud,6.0
1783697546,replicas_status,deployment=workload-cloud,6.0
1783697556,replicas_status,deployment=workload-cloud,6.0
1783697566,replicas_status,deployment=workload-cloud,6.0
1783697576,replicas_status,deployment=workload-cloud,6.0
1783697586,replicas_status,deployment=workload-cloud,6.0
