ts,metric,labels,value
1783707270,replicas_status,deployment=workload-cloud,1.0
1783707280,replicas_status,deployment=workload-cloud,1.0
1783707290,replicas_status,deployment=workload-cloud,1.0
1783707300,replicas_status,deployment=workload-cloud,1.0
1783707310,replicas_status,deployment=workload-cloud,1.0
1783707320,replicas_status,deployment=workload-cloud,1.0
1783707330,replicas_status,deployment=workload-cloud,1.0
1783707340,replicas_status,deployment=workload-cloud,1.0
1783707350,replicas_status,deployment=workload-cloud,1.0
1783707360,replicas_status,deployment=workload-cloud,1.0
1783707370,replicas_status,deployment=workload-cloud,2.0
1783707380,replicas_status,deployment=workload-cloud,2.0
1783707390,replicas_status,deployment=workload-cloud,2.0
1783707400,replicas_status,deployment=workload-cloud,2.0
1783707410,replicas_status,deployment=workload-cloud,2.0
1783707420,replicas_status,deployment=workload-cloud,3.0
1783707430,replicas_status,deployment=workload-cloud,3.0
1783707440,replicas_status,deployment=workload-cloud,3.0
1783707450,replicas_status,deployment=workload-cloud,3.0
1783707460,replicas_status,deployment=workload-cloud,3.0
1783707470,replicas_status,deployment=workload-cloud,3.0
1783707480,replicas_status,deployment=workload-cloud,5.0
1783707490,replicas_status,deployment=workload-cloud,5.0
1783707500,replicas_status,deployment=workload-cloud,5.0
1783707510,replicas_status,deployment=workload-cloud,5.0
1783707520,replicas_status,deployment=workload-cloud,6.0
1783707530,replicas_status,deployment=workload-cloud,6.0
1783707540,replicas_status,deployment=workload-cloud,6.0
1783707550,replicas_status,deployment=workload-cloud,6.0
1783707560,replicas_status,deployment=workload-cloud,6.0
1783707570,replicas_status,deployment=workload-cloud,6.0
1783707580,replicas_status,deployment=workload-cloud,6.0
1783707590,replicas_status,deployment=workload-cloud,6.0
1783707600,replicas_status,deployment=workload-cloud,6.0
1783707610,replicas_status,deployment=workload-cloud,6.0
1783707620,replicas_status,deployment=workload-cloud,6.0
1783707630,replicas_status,deployment=workload-cloud,6.0
1783707640,replicas_status,deployment=workload-cloud,6.0
1783707650,replicas_status,deployment=workload-cloud,6.0
1783707660,replicas_status,deployment=workload-cloud,6.0
1783707670,replicas_status,deployment=workload-cloud,6.0
1783707680,replicas_status,deployment=workload-cloud,6.0
1783707690,replicas_status,deployment=workload-cloud,6.0
1783707700,replicas_status,deployment=workload-cloud,6.0
1783707710,replicas_status,deployment=workload-cloud,6.0
1783707720,replicas_status,deployment=workload-cloud,6.0
1783707730,replicas_status,deployment=workload-cloud,6.0
1783707740,replicas_status,deployment=workload-cloud,6.0
1783707750,replicas_status,deployment=workload-cloud,6.0
1783707760,replicas_status,deployment=workload-cloud,6.0
1783707770,replicas_status,deployment=workload-cloud,6.0
1783707780,replicas_status,deployment=workload-cloud,6.0
1783707790,replicas_status,deployment=workload-cloud,6.0
1783707800,replicas_status,deployment=workload-cloud,6.0
1783707810,replicas_status,deployment=workload-cloud,6.0
1783707820,replicas_status,deployment=workload-cloud,6.0
1783707830,replicas_status,deployment=workload-cloud,6.0
1783707840,replicas_status,deployment=workload-cloud,6.0
1783707850,replicas_status,deployment=workload-cloud,6.0
1783707860,replicas_status,deployment=workload-cloud,6.0
1783707870,replicas_status,deployment=workload-cloud,6.0
1783707880,replicas_status,deployment=workload-cloud,6.0
1783707890,replicas_status,deployment=workload-cloud,6.0
1783707900,replicas_status,deployment=workload-cloud,6.0
