ts,metric,labels,value
1783719262,replicas_status,deployment=workload-cloud,1.0
1783719272,replicas_status,deployment=workload-cloud,1.0
1783719282,replicas_status,deployment=workload-cloud,1.0
1783719292,replicas_status,deployment=workload-cloud,1.0
1783719302,replicas_status,deployment=workload-cloud,1.0
1783719312,replicas_status,deployment=workload-cloud,1.0
1783719322,replicas_status,deployment=workload-cloud,2.0
1783719332,replicas_status,deployment=workload-cloud,2.0
1783719342,replicas_status,deployment=workload-cloud,2.0
1783719352,replicas_status,deployment=workload-cloud,2.0
1783719362,replicas_status,deployment=workload-cloud,3.0
1783719372,replicas_status,deployment=workload-cloud,3.0
1783719382,replicas_status,deployment=workload-cloud,3.0
1783719392,replicas_status,deployment=workload-cloud,3.0
1783719402,replicas_status,deployment=workload-cloud,5.0
1783719412,replicas_status,deployment=workload-cloud,4.0
1783719422,replicas_status,deployment=workload-cloud,4.0
1783719432,replicas_status,deployment=workload-cloud,4.0
1783719442,replicas_status,deployment=workload-cloud,6.0
1783719452,replicas_status,deployment=workload-cloud,6.0
1783719462,replicas_status,deployment=workload-cloud,6.0
1783719472,replicas_status,deployment=workload-cloud,6.0
1783719482,replicas_status,deployment=workload-cloud,6.0
1783719492,replicas_status,deployment=workload-cloud,6.0
1783719502,replicas_status,deployment=workload-cloud,6.0
1783719512,replicas_status,deployment=workload-cloud,6.0
1783719522,replicas_status,deployment=workload-cloud,6.0
1783719532,replicas_status,deployment=workload-cloud,6.0
1783719542,replicas_status,deployment=workload-cloud,6.0
1783719552,replicas_status,deployment=workload-cloud,6.0
1783719562,replicas_status,deployment=workload-cloud,6.0
1783719572,replicas_status,deployment=workload-cloud,6.0
1783719582,replicas_status,deployment=workload-cloud,6.0
1783719592,replicas_status,deployment=workload-cloud,6.0
1783719602,replicas_status,deployment=workload-cloud,6.0
1783719612,replicas_status,deployment=workload-cloud,6.0
1783719622,replicas_status,deployment=workload-cloud,6.0
1783719632,replicas_status,deployment=workload-cloud,6.0
1783719642,replicas_status,deployment=workload-cloud,6.0
1783719652,replicas_status,deployment=workload-cloud,6.0
1783719662,replicas_status,deployment=workload-cloud,6.0
1783719672,replicas_status,deployment=workload-cloud,6.0
1783719682,replicas_status,deployment=workload-cloud,6.0
1783719692,replicas_status,deployment=workload-cloud,6.0
1783719702,replicas_status,deployment=workload-cloud,6.0
1783719712,replicas_status,deployment=workload-cloud,6.0
1783719722,replicas_status,deployment=workload-cloud,6.0
1783719732,replicas_status,deployment=workload-cloud,6.0
1783719742,replicas_status,deployment=workload-cloud,6.0
1783719752,replicas_status,deployment=workload-cloud,6.0
1783719762,replicas_status,deployment=workload-cloud,6.0
1783719772,replicas_status,deployment=workload-cloud,6.0
1783719782,replicas_status,deployment=workload-cloud,6.0
1783719792,replicas_status,deployment=workload-cloud,6.0
1783719802,replicas_status,deployment=workload-cloud,6.0
