ts,metric,labels,value
1783732153,replicas_status,deployment=workload-cloud,1.0
1783732163,replicas_status,deployment=workload-cloud,1.0
1783732173,replicas_status,deployment=workload-cloud,1.0
1783732183,replicas_status,deployment=workload-cloud,1.0
1783732193,replicas_status,deployment=workload-cloud,1.0
1783732203,replicas_status,deployment=workload-cloud,1.0
1783732213,replicas_status,deployment=workload-cloud,1.0
1783732223,replicas_status,deployment=workload-cloud,1.0
1783732233,replicas_status,deployment=workload-cloud,1.0
1783732243,replicas_status,deployment=workload-cloud,1.0
1783732253,replicas_status,deployment=workload-cloud,1.0
1783732263,replicas_status,deployment=workload-cloud,1.0
1783732273,replicas_status,deployment=workload-cloud,2.0
1783732283,replicas_status,deployment=workload-cloud,2.0
1783732293,replicas_status,deployment=workload-cloud,2.0
1783732303,replicas_status,deployment=workload-cloud,2.0
1783732313,replicas_status,deployment=workload-cloud,2.0
1783732323,replicas_status,deployment=workload-cloud,2.0
1783732333,replicas_status,deployment=workload-cloud,2.0
1783732343,replicas_status,deployment=workload-cloud,2.0
1783732353,replicas_status,deployment=workload-cloud,3.0
1783732363,replicas_status,deployment=workload-cloud,3.0
1783732373,replicas_status,deployment=workload-cloud,3.0
1783732383,replicas_status,deployment=workload-cloud,4.0
1783732393,replicas_status,deployment=workload-cloud,4.0
1783732403,replicas_status,deployment=workload-cloud,4.0
1783732413,replicas_status,deployment=workload-cloud,5.0
1783732423,replicas_status,deployment=workload-cloud,5.0
1783732433,replicas_status,deployment=workload-cloud,5.0
1783732443,replicas_status,deployment=workload-cloud,6.0
1783732453,replicas_status,deployment=workload-cloud,6.0
1783732463,replicas_status,deployment=workload-cloud,6.0
1783732473,replicas_status,deployment=workload-cloud,6.0
1783732483,replicas_status,deployment=workload-cloud,6.0
1783732493,replicas_status,deployment=workload-cloud,6.0
1783732503,replicas_status,deployment=workload-cloud,6.0
1783732513,replicas_status,deployment=workload-cloud,6.0
1783732523,replicas_status,deployment=workload-cloud,6.0
1783732533,replicas_status,deployment=workload-cloud,6.0
1783732543,replicas_status,deployment=workload-cloud,6.0
1783732553,replicas_status,deployment=workload-cloud,6.0
1783732563,replicas_status,deployment=workload-cloud,6.0
1783732573,replicas_status,deployment=workload-cloud,6.0
1783732583,replicas_status,deployment=workload-cloud,6.0
1783732593,replicas_status,deployment=workload-cloud,6.0
1783732603,replicas_status,deployment=workload-cloud,6.0
1783732613,replicas_status,deployment=workload-cloud,6.0
1783732623,replicas_status,deployment=workload-cloud,6.0
1783732633,replicas_status,deployment=workload-cloud,6.0
1783732643,replicas_status,deployment=workload-cloud,6.0
1783732653,replicas_status,deployment=workload-cloud,6.0
1783732663,replicas_status,deployment=workload-cloud,6.0
1783732673,replicas_status,deployment=workload-cloud,6.0
1783732683,replicas_status,deployment=workload-cloud,6.0
1783732693,replicas_status,deployment=workload-cloud,6.0
1783732703,replicas_status,deployment=workload-cloud,6.0
1783732713,replicas_status,deployment=workload-cloud,6.0
1783732723,replicas_status,deployment=workload-cloud,5.0
1783732733,replicas_status,deployment=workload-cloud,5.0
1783732743,replicas_status,deployment=workload-cloud,5.0
1783732753,replicas_status,deployment=workload-cloud,5.0
1783732763,replicas_status,deployment=workload-cloud,5.0
1783732773,replicas_status,deployment=workload-cloud,5.0
1783732783,replicas_status,deployment=workload-cloud,4.0
1783732793,replicas_status,deployment=workload-cloud,4.0
1783732803,replicas_status,deployment=workload-cloud,4.0
1783732153,replicas_status,deployment=workload-edge,1.0
1783732163,replicas_status,deployment=workload-edge,1.0
1783732173,replicas_status,deployment=workload-edge,1.0
1783732183,replicas_status,deployment=workload-edge,1.0
1783732193,replicas_status,deployment=workload-edge,1.0
1783732203,replicas_status,deployment=workload-edge,1.0
1783732213,replicas_status,deployment=workload-edge,1.0
1783732223,replicas_status,deployment=workload-edge,1.0
1783732233,replicas_status,deployment=workload-edge,1.0
1783732243,replicas_status,deployment=workload-edge,1.0
1783732253,replicas_status,deployment=workload-edge,1.0
1783732263,replicas_status,deployment=workload-edge,1.0
1783732273,replicas_status,deployment=workload-edge,1.0
1783732283,replicas_status,deployment=workload-edge,1.0
1783732293,replicas_status,deployment=workload-edge,1.0
1783732303,replicas_status,deployment=workload-edge,1.0
1783732313,replicas_status,deployment=workload-edge,1.0
1783732323,replicas_status,deployment=workload-edge,1.0
1783732333,replicas_status,deployment=workload-edge,1.0
1783732343,replicas_status,deployment=workload-edge,1.0
1783732353,replicas_status,deployment=workload-edge,1.0
1783732363,replicas_status,deployment=workload-edge,1.0
1783732373,replicas_status,deployment=workload-edge,1.0
1783732383,replicas_status,deployment=workload-edge,1.0
1783732393,replicas_status,deployment=workload-edge,1.0
1783732403,replicas_status,deployment=workload-edge,1.0
1783732413,replicas_status,deployment=workload-edge,1.0
1783732423,replicas_status,deployment=workload-edge,1.0
1783732433,replicas_status,deployment=workload-edge,1.0
1783732443,replicas_status,deployment=workload-edge,1.0
1783732453,replicas_status,deployment=workload-edge,1.0
1783732463,replicas_status,deployment=workload-edge,1.0
1783732473,replicas_status,deployment=workload-edge,1.0
1783732483,replicas_status,deployment=workload-edge,1.0
1783732493,replicas_status,deployment=workload-edge,1.0
1783732503,replicas_status,deployment=workload-edge,1.0
1783732513,replicas_status,deployment=workload-edge,1.0
1783732523,replicas_status,deployment=workload-edge,1.0
1783732533,replicas_status,deployment=workload-edge,1.0
1783732543,replicas_status,deployment=workload-edge,1.0
1783732553,replicas_status,deployment=workload-edge,1.0
1783732563,replicas_status,deployment=workload-edge,1.0
1783732573,replicas_status,deployment=workload-edge,1.0
1783732583,replicas_status,deployment=workload-edge,1.0
1783732593,replicas_status,deployment=workload-edge,1.0
1783732603,replicas_status,deployment=workload-edge,1.0
1783732613,replicas_status,deployment=workload-edge,1.0
1783732623,replicas_status,deployment=workload-edge,1.0
1783732633,replicas_status,deployment=workload-edge,1.0
1783732643,replicas_status,deployment=workload-edge,1.0
1783732653,replicas_status,deployment=workload-edge,1.0
1783732663,replicas_status,deployment=workload-edge,1.0
1783732673,replicas_status,deployment=workload-edge,1.0
1783732683,replicas_status,deployment=workload-edge,1.0
1783732693,replicas_status,deployment=workload-edge,1.0
1783732703,replicas_status,deployment=workload-edge,1.0
1783732713,replicas_status,deployment=workload-edge,1.0
1783732723,replicas_status,deployment=workload-edge,1.0
1783732733,replicas_status,deployment=workload-edge,1.0
1783732743,replicas_status,deployment=workload-edge,1.0
1783732753,replicas_status,deployment=workload-edge,1.0
1783732763,replicas_status,deployment=workload-edge,1.0
1783732773,replicas_status,deployment=workload-edge,1.0
1783732783,replicas_status,deployment=workload-edge,1.0
1783732793,replicas_status,deployment=workload-edge,1.0
1783732803,replicas_status,deployment=workload-edge,1.0
1783732153,replicas_spec,deployment=workload-cloud,1.0
1783732163,replicas_spec,deployment=workload-cloud,1.0
1783732173,replicas_spec,deployment=workload-cloud,1.0
1783732183,replicas_spec,deployment=workload-cloud,1.0
1783732193,replicas_spec,deployment=workload-cloud,1.0
1783732203,replicas_spec,deployment=workload-cloud,1.0
1783732213,replicas_spec,deployment=workload-cloud,1.0
1783732223,replicas_spec,deployment=workload-cloud,1.0
1783732233,replicas_spec,deployment=workload-cloud,1.0
1783732243,replicas_spec,deployment=workload-cloud,1.0
1783732253,replicas_spec,deployment=workload-cloud,1.0
1783732263,replicas_spec,deployment=workload-cloud,1.0
1783732273,replicas_spec,deployment=workload-cloud,2.0
1783732283,replicas_spec,deployment=workload-cloud,2.0
1783732293,replicas_spec,deployment=workload-cloud,2.0
1783732303,replicas_spec,deployment=workload-cloud,2.0
1783732313,replicas_spec,deployment=workload-cloud,2.0
1783732323,replicas_spec,deployment=workload-cloud,2.0
1783732333,replicas_spec,deployment=workload-cloud,2.0
1783732343,replicas_spec,deployment=workload-cloud,2.0
1783732353,replicas_spec,deployment=workload-cloud,3.0
1783732363,replicas_spec,deployment=workload-cloud,3.0
1783732373,replicas_spec,deployment=workload-cloud,3.0
1783732383,replicas_spec,deployment=workload-cloud,4.0
1783732393,replicas_spec,deployment=workload-cloud,4.0
1783732403,replicas_spec,deployment=workload-cloud,4.0
1783732413,replicas_spec,deployment=workload-cloud,5.0
1783732423,replicas_spec,deployment=workload-cloud,5.0
1783732433,replicas_spec,deployment=workload-cloud,5.0
1783732443,replicas_spec,deployment=workload-cloud,6.0
1783732453,replicas_spec,deployment=workload-cloud,6.0
1783732463,replicas_spec,deployment=workload-cloud,6.0
1783732473,replicas_spec,deployment=workload-cloud,6.0
1783732483,replicas_spec,deployment=workload-cloud,6.0
1783732493,replicas_spec,deployment=workload-cloud,6.0
1783732503,replicas_spec,deployment=workload-cloud,6.0
1783732513,replicas_spec,deployment=workload-cloud,6.0
1783732523,replicas_spec,deployment=workload-cloud,6.0
1783732533,replicas_spec,deployment=workload-cloud,6.0
1783732543,replicas_spec,deployment=workload-cloud,6.0
1783732553,replicas_spec,deployment=workload-cloud,6.0
1783732563,replicas_spec,deployment=workload-cloud,6.0
1783732573,replicas_spec,deployment=workload-cloud,6.0
1783732583,replicas_spec,deployment=workload-cloud,6.0
1783732593,replicas_spec,deployment=workload-cloud,6.0
1783732603,replicas_spec,deployment=workload-cloud,6.0
1783732613,replicas_spec,deployment=workload-cloud,6.0
1783732623,replicas_spec,deployment=workload-cloud,6.0
1783732633,replicas_spec,deployment=workload-cloud,6.0
1783732643,replicas_spec,deployment=workload-cloud,6.0
1783732653,replicas_spec,deployment=workload-cloud,6.0
1783732663,replicas_spec,deployment=workload-cloud,6.0
1783732673,replicas_spec,deployment=workload-cloud,6.0
