session_id,block,attempt,verdict,category,p95_ms,cpu_pct
S5,6,1,FAIL,overload_severe_instability,16.16,23.73
S10,6,2,DIAGNOSTIC_COLLECTION_INCOMPLETE,diagnostic_incomplete,9.254,23.1
S11,6,3,PASS,pass,8.99,29.43
S6,7,1,FAIL,overload_severe_instability,3550.219,70.1
S12,7,2,FAIL,overload_severe_instability,11469.008,58.33
S13,7,3,PASS,pass,4.71,16.23
S14,8,1,FAIL,low_cpu_lower_band,4.519,14.77
S15,8,2,FAIL,low_cpu_lower_band,4.57,15.03
S16,8,3,PASS,pass,4.471,16.6
S17,9,1,PASS,pass,4.959,18.6
S18,10,1,FAIL,low_cpu_lower_band,5.016,8.9
S19,10,2,FAIL,low_cpu_lower_band,4.341,14.5
S20,10,3,PASS,pass,4.591,17.77
