metric,arm,median,mean,sd,min,max,n
lat95_mean_ms,F30,42.4105,62.9708,57.85026518099214,28.346,210.178,10
lat95_mean_ms,G30,38.266,48.6217,47.77242991528808,24.168,182.779,10
lat95_mean_ms,H100,49.0325,70.1994,56.44606721109984,28.898,205.547,10
lat95_mean_ms,H115,57.251999999999995,69.0926,52.03114149814513,38.164,213.258,10
lat95_mean_ms,H50,32.6365,45.4944,33.57002022704849,24.538,133.985,10
lat95_mean_ms,P30,45.2085,45.0943,13.178084450666146,25.755,66.106,10
lat95_p95_ms,F30,70.356,124.1834,135.42178763420767,47.831,456.282,10
lat95_p95_ms,G30,56.7035,106.3665,161.02371616024627,44.175,563.682,10
lat95_p95_ms,H100,80.46199999999999,148.1605,146.44552967059118,49.844,475.176,10
lat95_p95_ms,H115,98.33099999999999,133.1729,125.13853587875231,67.623,481.624,10
lat95_p95_ms,H50,49.308,85.5099,77.59278194587432,44.135,292.984,10
lat95_p95_ms,P30,73.99000000000001,79.4553,27.636913941924362,46.375,131.343,10
slo_violation_rate,F30,0.0,0.05904,0.13002775088418625,0.0,0.375,10
slo_violation_rate,G30,0.0,0.0303,0.0958170131031019,0.0,0.303,10
slo_violation_rate,H100,0.0,0.0579,0.1269636955983875,0.0,0.3636,10
slo_violation_rate,H115,0.0,0.036919999999999994,0.11675129121341656,0.0,0.3692,10
slo_violation_rate,H50,0.0,0.03485,0.11020537645686801,0.0,0.3485,10
slo_violation_rate,P30,0.0,0.0,0.0,0.0,0.0,10
replica_seconds,F30,3015.0,3007.5,56.236109396009965,2920.0,3085.0,10
replica_seconds,G30,3087.5,3114.0,76.44169891710501,3035.0,3260.0,10
replica_seconds,H100,2742.5,2707.0,142.71572365292403,2320.0,2805.0,10
replica_seconds,H115,2660.0,2591.5,248.88696675845085,1900.0,2725.0,10
replica_seconds,H50,3165.0,3169.0,38.06427312965386,3105.0,3225.0,10
replica_seconds,P30,2957.5,2962.0,65.49809157525127,2835.0,3065.0,10
replicas_peak,F30,6.0,6.0,0.0,6.0,6.0,10
replicas_peak,G30,6.0,6.0,0.0,6.0,6.0,10
replicas_peak,H100,6.0,5.9,0.31622776601683794,5.0,6.0,10
replicas_peak,H115,6.0,5.8,0.6324555320336759,4.0,6.0,10
replicas_peak,H50,6.0,6.0,0.0,6.0,6.0,10
replicas_peak,P30,6.0,6.0,0.0,6.0,6.0,10
time_at_max_replicas_frac,F30,0.6356999999999999,0.63046,0.023783570426288442,0.5909,0.6615,10
time_at_max_replicas_frac,G30,0.6719,0.6729,0.02668028818768227,0.6154,0.7077,10
time_at_max_replicas_frac,H100,0.43415000000000004,0.39258,0.13832413463391782,0.0,0.4531,10
time_at_max_replicas_frac,H115,0.4242,0.38701,0.136351534644829,0.0,0.4462,10
time_at_max_replicas_frac,H50,0.68465,0.68199,0.014161093021216825,0.6567,0.697,10
time_at_max_replicas_frac,P30,0.62885,0.62561,0.019695935846993636,0.5846,0.6562,10
scale_changes,F30,5.0,4.7,0.6749485577105528,4.0,6.0,10
scale_changes,G30,4.0,4.7,0.9486832980505138,4.0,6.0,10
scale_changes,H100,6.0,6.2,0.6324555320336759,5.0,7.0,10
scale_changes,H115,7.0,6.7,0.9486832980505138,4.0,7.0,10
scale_changes,H50,5.0,5.0,0.0,5.0,5.0,10
scale_changes,P30,4.0,4.4,0.5163977794943223,4.0,5.0,10
cpu_util_mean,F30,0.6917,0.78731,0.3658088190723552,0.519,1.607,10
cpu_util_mean,G30,0.6871,0.68376,0.20162997572561253,0.5217,1.1962,10
cpu_util_mean,H100,0.7368,0.76493,0.23275859716787164,0.5549,1.2342,10
cpu_util_mean,H115,0.7279500000000001,0.75369,0.2592478155913544,0.5501,1.433,10
cpu_util_mean,H50,0.7037,0.7339,0.24022897410595584,0.5236,1.2441,10
cpu_util_mean,P30,0.6811,0.65351,0.11401670881449301,0.5271,0.8363,10
rps_mean,F30,506.24,474.858,78.19653527419798,280.25,534.74,10
rps_mean,G30,535.865,517.744,77.38094988073257,305.15,569.56,10
rps_mean,H100,469.18,445.799,82.32482445235526,243.41,506.83,10
rps_mean,H115,449.345,440.444,74.05896002510431,241.61,496.48,10
rps_mean,H50,532.235,510.54400000000004,74.97118916253395,311.32,564.45,10
rps_mean,P30,496.9,500.743,32.85831775297626,455.0,559.78,10
