pair,metric,scope,n_favouring_H50_lower,n_favouring_H100_lower,n_blocks,mean_diff,median_diff,sd_diff,bootstrap_ci,paired_effect_size,n_favouring_H115_lower
H50_vs_H100,lat95_mean_ms,primary_10block,10.0,0.0,10,-24.705,-14.4395,25.4575,"{'mean': -24.705, 'ci_low': -40.7539, 'ci_high': -11.2041, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-0.9704,
H50_vs_H100,replica_seconds,primary_10block,0.0,10.0,10,462.0,425.0,141.15,"{'mean': 462.0, 'ci_low': 404.0, 'ci_high': 556.0, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",3.2731,
H50_vs_H100,replicas_peak,primary_10block,0.0,1.0,10,0.1,0.0,0.3162,"{'mean': 0.1, 'ci_low': 0.0, 'ci_high': 0.3, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.3162,
H50_vs_H100,time_at_max_replicas_frac,primary_10block,0.0,10.0,10,0.2894,0.2513,0.1298,"{'mean': 0.2894, 'ci_low': 0.2421, 'ci_high': 0.374, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",2.2299,
H50_vs_H100,scale_changes,primary_10block,9.0,0.0,10,-1.2,-1.0,0.6325,"{'mean': -1.2, 'ci_low': -1.6, 'ci_high': -0.8, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-1.8974,
H100_vs_H115,lat95_mean_ms,primary_10block,,8.0,10,1.1068,-7.5215,21.9033,"{'mean': 1.1068, 'ci_low': -10.0755, 'ci_high': 15.8358, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.0505,2.0
H100_vs_H115,replica_seconds,primary_10block,,0.0,10,115.5,80.0,113.5403,"{'mean': 115.5, 'ci_low': 64.0, 'ci_high': 192.0, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",1.0173,10.0
H100_vs_H115,replicas_peak,primary_10block,,0.0,10,0.1,0.0,0.3162,"{'mean': 0.1, 'ci_low': 0.0, 'ci_high': 0.3, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.3162,1.0
H100_vs_H115,time_at_max_replicas_frac,primary_10block,,3.0,10,0.0056,0.0,0.0187,"{'mean': 0.0056, 'ci_low': -0.0052, 'ci_high': 0.0166, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.2986,4.0
H100_vs_H115,scale_changes,primary_10block,,6.0,10,-0.5,-1.0,1.0801,"{'mean': -0.5, 'ci_low': -1.1, 'ci_high': 0.2, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-0.4629,1.0
H50_vs_H115,lat95_mean_ms,primary_10block,9.0,,10,-23.5982,-19.668,21.7113,"{'mean': -23.5982, 'ci_low': -38.071, 'ci_high': -12.6343, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-1.0869,1.0
H50_vs_H115,replica_seconds,primary_10block,0.0,,10,577.5,505.0,249.925,"{'mean': 577.5, 'ci_low': 476.0, 'ci_high': 743.5, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",2.3107,10.0
H50_vs_H115,replicas_peak,primary_10block,0.0,,10,0.2,0.0,0.6325,"{'mean': 0.2, 'ci_low': 0.0, 'ci_high': 0.6, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.3162,1.0
H50_vs_H115,time_at_max_replicas_frac,primary_10block,0.0,,10,0.295,0.2576,0.1284,"{'mean': 0.295, 'ci_low': 0.2461, 'ci_high': 0.3795, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",2.2977,10.0
H50_vs_H115,scale_changes,primary_10block,9.0,,10,-1.7,-2.0,0.9487,"{'mean': -1.7, 'ci_low': -2, 'ci_high': -1.1, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-1.792,1.0
