comparison,metric,scope,n_favouring_G30_lower,n_favouring_P30_lower,n_blocks,mean_diff,median_diff,sd_diff,bootstrap_ci,paired_effect_size,n_favouring_F30_lower
G30_vs_P30,lat95_mean_ms,primary_10block,8,2.0,10,3.5274,-7.2155,40.2714,"{'mean': 3.5274, 'ci_low': -12.0595, 'ci_high': 30.1363, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.0876,
G30_vs_F30,lat95_mean_ms,primary_10block,8,,10,-14.3491,-4.458,76.6762,"{'mean': -14.3491, 'ci_low': -61.7546, 'ci_high': 30.4979, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-0.1871,2.0
G30_vs_P30,slo_violation_rate,primary_10block,0,1.0,10,0.0303,0.0,0.0958,"{'mean': 0.0303, 'ci_low': 0.0, 'ci_high': 0.0909, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.3162,
G30_vs_F30,slo_violation_rate,primary_10block,2,,10,-0.0287,0.0,0.1734,"{'mean': -0.0287, 'ci_low': -0.134, 'ci_high': 0.0694, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",-0.1658,1.0
G30_vs_P30,replica_seconds,primary_10block,0,10.0,10,152.0,135.0,85.7386,"{'mean': 152.0, 'ci_low': 104.0, 'ci_high': 207.0, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",1.7728,
G30_vs_F30,replica_seconds,primary_10block,1,,10,106.5,85.0,101.8727,"{'mean': 106.5, 'ci_low': 49.0, 'ci_high': 169.0, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",1.0454,9.0
G30_vs_P30,scale_changes,primary_10block,0,3.0,10,0.3,0.0,0.483,"{'mean': 0.3, 'ci_low': 0, 'ci_high': 0.6, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.6211,
G30_vs_F30,scale_changes,primary_10block,2,,10,0.0,0.0,0.9428,"{'mean': 0, 'ci_low': -0.6, 'ci_high': 0.5, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",0.0,3.0
G30_vs_P30,time_at_max_replicas_frac,primary_10block,1,9.0,10,0.0473,0.0465,0.0363,"{'mean': 0.0473, 'ci_low': 0.025, 'ci_high': 0.0685, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",1.3044,
G30_vs_F30,time_at_max_replicas_frac,primary_10block,0,,10,0.0424,0.0362,0.0294,"{'mean': 0.0424, 'ci_low': 0.026, 'ci_high': 0.0608, 'ci_level': 0.95, 'n': 10, 'n_resamples': 10000}",1.4436,10.0
G30_vs_P30,lat95_mean_ms,EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,8,1.0,9,-9.0443,-9.515,6.8166,"{'mean': -9.0443, 'ci_low': -13.3404, 'ci_high': -5.0528, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",-1.3268,
G30_vs_F30,lat95_mean_ms,EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,8,,9,-31.183,-4.738,58.5331,"{'mean': -31.183, 'ci_low': -69.7489, 'ci_high': -3.5604, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",-0.5327,1.0
G30_vs_P30,slo_violation_rate,EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,0,0.0,9,0.0,0.0,0.0,"{'mean': 0.0, 'ci_low': 0.0, 'ci_high': 0.0, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",,
G30_vs_F30,slo_violation_rate,EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,2,,9,-0.0656,0.0,0.1361,"{'mean': -0.0656, 'ci_low': -0.1551, 'ci_high': 0.0, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",-0.4818,0.0
G30_vs_P30,replica_seconds,EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,0,9.0,9,156.6667,140.0,89.5824,"{'mean': 156.6667, 'ci_low': 105.5556, 'ci_high': 214.4444, 'ci_level': 0.95, 'n': 9, 'n_resamples': 10000}",1.7489,
