sensitivity_scope,n_blocks,comparison,metric,sensitivity_mean_diff,primary_mean_diff,sensitivity_ci_low,sensitivity_ci_high,primary_ci_low,primary_ci_high,same_direction_as_primary,sensitivity_effect_size,primary_effect_size
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_P30,lat95_mean_ms,-9.0443,3.5274,-13.3404,-5.0528,-12.0595,30.1363,False,-1.3268,0.0876
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_F30,lat95_mean_ms,-31.183,-14.3491,-69.7489,-3.5604,-61.7546,30.4979,True,-0.5327,-0.1871
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_P30,slo_violation_rate,0.0,0.0303,0.0,0.0,0.0,0.0909,False,,0.3162
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_F30,slo_violation_rate,-0.0656,-0.0287,-0.1551,0.0,-0.134,0.0694,True,-0.4818,-0.1658
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_P30,replica_seconds,156.6667,152.0,105.5556,214.4444,104.0,207.0,True,1.7489,1.7728
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_F30,replica_seconds,101.6667,106.5,40.5556,170.0,49.0,169.0,True,0.9517,1.0454
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_P30,scale_changes,0.3333,0.3,0.0,0.6667,0.0,0.6,True,0.6667,0.6211
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_F30,scale_changes,0.0,0.0,-0.6667,0.5556,-0.6,0.5,True,0.0,0.0
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_P30,time_at_max_replicas_frac,0.0492,0.0473,0.0247,0.0717,0.025,0.0685,True,1.2991,1.3044
EXCLUDE_BLOCK6_unauthorised_attempt3_continuation,9,G30_vs_F30,time_at_max_replicas_frac,0.0466,0.0424,0.0308,0.0647,0.026,0.0608,True,1.6681,1.4436
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_P30,lat95_mean_ms,5.3966,3.5274,-11.7277,34.6439,-12.0595,30.1363,True,0.1277,0.0876
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_F30,lat95_mean_ms,-15.4792,-14.3491,-67.2413,34.1417,-61.7546,30.4979,True,-0.1905,-0.1871
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_P30,slo_violation_rate,0.0337,0.0303,0.0,0.101,0.0,0.0909,True,0.3333,0.3162
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_F30,slo_violation_rate,-0.0319,-0.0287,-0.1489,0.0771,-0.134,0.0694,True,-0.1739,-0.1658
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_P30,replica_seconds,133.3333,152.0,94.4444,175.5556,104.0,207.0,True,2.0216,1.7728
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_F30,replica_seconds,85.0,106.5,35.5556,133.3333,49.0,169.0,True,1.0563,1.0454
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_P30,scale_changes,0.2222,0.3,0.0,0.5556,0.0,0.6,True,0.504,0.6211
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_F30,scale_changes,-0.1111,0.0,-0.6667,0.4444,-0.6,0.5,True,-0.1197,0.0
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_P30,time_at_max_replicas_frac,0.0401,0.0473,0.0196,0.0557,0.025,0.0685,True,1.3427,1.3044
EXCLUDE_BLOCK7_G30_metrics_historical_reexport,9,G30_vs_F30,time_at_max_replicas_frac,0.0398,0.0424,0.023,0.0591,0.026,0.0608,True,1.3312,1.4436
EXCLUDE_BOTH_additional_robustness,8,G30_vs_P30,lat95_mean_ms,-8.513,3.5274,-13.2696,-4.1401,-12.0595,30.1363,False,-1.2015,0.0876
EXCLUDE_BOTH_additional_robustness,8,G30_vs_F30,lat95_mean_ms,-34.5586,-14.3491,-77.3566,-3.4442,-61.7546,30.4979,True,-0.5607,-0.1871
EXCLUDE_BOTH_additional_robustness,8,G30_vs_P30,slo_violation_rate,0.0,0.0303,0.0,0.0,0.0,0.0909,False,,0.3162
EXCLUDE_BOTH_additional_robustness,8,G30_vs_F30,slo_violation_rate,-0.0738,-0.0287,-0.1745,0.0,-0.134,0.0694,True,-0.5155,-0.1658
EXCLUDE_BOTH_additional_robustness,8,G30_vs_P30,replica_seconds,136.25,152.0,92.5,182.5,104.0,207.0,True,1.9496,1.7728
EXCLUDE_BOTH_additional_robustness,8,G30_vs_F30,replica_seconds,76.875,106.5,25.0,130.0,49.0,169.0,True,0.9377,1.0454
EXCLUDE_BOTH_additional_robustness,8,G30_vs_P30,scale_changes,0.25,0.3,0.0,0.625,0.0,0.6,True,0.5401,0.6211
EXCLUDE_BOTH_additional_robustness,8,G30_vs_F30,scale_changes,-0.125,0.0,-0.75,0.5,-0.6,0.5,True,-0.1261,0.0
EXCLUDE_BOTH_additional_robustness,8,G30_vs_P30,time_at_max_replicas_frac,0.0413,0.0473,0.0175,0.0585,0.025,0.0685,True,1.3071,1.3044
EXCLUDE_BOTH_additional_robustness,8,G30_vs_F30,time_at_max_replicas_frac,0.0441,0.0424,0.0273,0.0645,0.026,0.0608,True,1.5324,1.4436
